,0
282,1245.538863784075
283,1239.631505227834
284,1239.9292924046517
285,1248.1707597970963
286,1253.038704045862
287,1242.6592911042273
288,1242.6592911042273
289,1242.6592911042273
290,1246.929234034568
291,1245.389907066524
292,1240.9219490610064
293,1239.6811247333885
294,1226.7842618986965
295,1226.7842618986965
296,1226.7842618986965
297,1221.3322047427298
298,1217.9136494778097
299,1222.471966328472
300,1213.307747282833
301,1209.5947717286647
302,1209.5947717286647
303,1209.5947717286647
304,1208.75334443897
305,1216.4276596203447
306,1216.5267162583768
307,1227.825401736051
308,1231.5941413655878
309,1231.5941413655878
310,1231.5941413655878
311,1238.1923291362823
312,1239.5818716935814
313,1236.157901351154
314,1245.9360863737763
315,1252.8896491274238
316,1252.8896491274238
317,1252.8896491274238
318,1251.7470397159457
319,1245.4892021924259
320,1258.4054526880384
321,1262.1833530575038
322,1264.8185317859054
323,1264.8185317859054
324,1264.8185317859054
325,1268.2002617180349
326,1266.8574347257615
327,1265.3655387863519
328,1255.0261637493968
329,1255.3242735862732
330,1255.3242735862732
331,1255.3242735862732
332,1259.1013041764497
333,1268.299725188315
334,1281.5858282834292
335,1283.278531008959
336,1279.495075275004
337,1279.495075275004
338,1279.495075275004
339,1267.5536790177227
340,1269.9909128144384
341,1282.33258991763
342,1292.9406285539271
343,1290.0513339862227
344,1290.0513339862227
345,1290.0513339862227
346,1281.3866909123958
347,1283.8262394443154
348,1286.1665629938245
349,1282.4819534674289
350,1315.7247495397926
351,1315.7247495397926
352,1315.7247495397926
353,1315.7247495397926
354,1305.600041642785
355,1308.8412461049857
356,1317.4710138350727
357,1330.1493516378105
358,1330.1493516378105
359,1330.1493516378105
360,1332.5962792649866
361,1334.8937030553818
362,1340.538626754284
363,1343.2868487328292
364,1331.24792496562
365,1331.24792496562
366,1331.24792496562
367,1323.5594267703593
368,1324.6076511003077
369,1321.6128887794912
370,1319.9161037027836
371,1309.1903362311423
372,1309.1903362311423
373,1309.1903362311423
374,1306.697001670301
375,1308.3924259632827
376,1289.2543636411428
377,1291.9442542925478
378,1290.4498051300645
379,1290.4498051300645
380,1290.4498051300645
381,1297.175906571001
382,1279.743972438574
383,1280.5403956644238
384,1280.2915125295522
385,1270.936082327366
386,1270.936082327366
387,1270.936082327366
388,1268.4986942149699
389,1271.4832997582853
390,1271.7320566348733
391,1259.1013041764497
392,1275.9613864839077
393,1275.9613864839077
394,1275.9613864839077
395,1288.5570671968162
396,1286.415558358282
397,1287.411567873508
398,1296.7273950606586
399,1300.4154275894166
400,1300.4154275894166
401,1300.4154275894166
402,1281.934301146865
403,1277.4046308979393
404,1283.5772861659527
405,1278.4000231504442
406,1272.1300648316742
407,1272.1300648316742
408,1272.1300648316742
409,1273.6724219985308
410,1272.2295563593507
411,1270.9858280912042
412,1263.7246300145985
413,1269.244782471657
414,1269.244782471657
415,1269.244782471657
416,1267.4044978410006
417,1274.2695114515723
418,1276.4092667028308
419,1264.4704657547177
420,1268.1505299828948
421,1268.1505299828948
422,1268.1505299828948
423,1272.8265896975995
424,1281.1875535413624
425,1281.984103025496
426,1281.4862525835633
427,1275.1652017459273
428,1275.1652017459273
429,1275.1652017459273
430,1271.8315481625498
431,1279.3955136038364
432,1277.2055356130004
433,1281.5360264047981
434,1283.3781067088248
435,1283.3781067088248
436,1283.3781067088248
437,1280.4906358718872
438,1284.124966543913
439,1287.5111856594683
440,1287.6605772666635
441,1292.0438861072064
442,1292.0438861072064
443,1292.0438861072064
444,1289.005326190591
445,1281.03821804896
446,1277.4046308979393
447,1272.7270841412246
448,1270.6873394794763
449,1270.6873394794763
450,1270.6873394794763
451,1263.5754488378764
452,1260.990212275088
453,1252.343161188811
454,1248.021760993451
455,1244.545842381567
456,1244.545842381567
457,1244.545842381567
458,1238.3412016816437
459,1240.0781789787113
460,1248.3694201923906
461,1251.9457421973348
462,1257.9084579966964
463,1257.9084579966964
464,1257.9084579966964
465,1257.6599536366762
466,1261.8353291124106
467,1261.8353291124106
468,1261.8353291124106
469,1276.6083479590716
470,1276.6083479590716
471,1276.6083479590716
472,1276.6083479590716
473,1276.6083479590716
474,1288.158624110371
475,1288.158624110371
476,1309.1404782377185
477,1309.1404782377185
478,1309.1404782377185
479,1309.1404782377185
480,1311.9833518430592
481,1311.5843195512891
482,1314.2280838429929
483,1317.0219552055003
484,1317.0219552055003
485,1317.0219552055003
486,1308.0932359166445
487,1316.8223969735207
488,1320.115704020858
489,1323.85891141966
490,1336.2922520369293
491,1336.2922520369293
492,1336.2922520369293
493,1330.8983859211207
494,1332.6961355388166
495,1329.25057502985
496,1331.9970013350248
497,1329.6500281825663
498,1329.6500281825663
499,1329.6500281825663
500,1330.448962545395
501,1350.7340954050424
502,1351.9839542143047
503,1350.1841984927655
504,1340.8883762292564
505,1340.8883762292564
506,1340.8883762292564
507,1341.9376527115703
508,1342.087563380599
509,1338.3903420545162
510,1328.2020841546357
511,1330.6487171791496
512,1330.6487171791496
513,1330.6487031504512
514,1328.4517108105124
515,1321.7127029672265
516,1312.5320142298938
517,1311.1853153169156
518,1319.3671467132867
519,1319.3671467132867
520,1319.3671467132867
521,1322.4114163100721
522,1333.295455554873
523,1349.484334796667
524,1349.1344310060144
525,1343.6366402938963
526,1343.6366402938963
527,1343.6366402938963
528,1336.891684282571
529,1327.5530183747412
530,1325.406346975267
531,1325.0070060521366
532,1330.5488188192248
533,1330.5488188192248
534,1330.5488188192248
535,1322.810729175806
536,1314.9265166118741
537,1304.8521577127278
538,1319.3671467132867
539,1317.4710138350727
540,1317.4710138350727
