,0
233,1462.225151425883
234,1495.2279192186418
235,1490.9464935382575
236,1548.4364330288474
237,1572.1611822110385
238,1558.3420804459352
239,1574.5620455013297
240,1673.9474050544381
241,1683.904040269542
242,1790.238247930745
243,1845.6090246725696
244,1853.246912305237
245,1798.8426501213883
246,1803.0308329225272
247,1806.5399765683176
248,1767.5262121953403
249,1832.732774619954
250,1810.3319475578003
251,1979.8046835431387
252,2067.2814344037733
253,2025.0781860745024
254,2103.464178759549
255,2292.7531393385398
256,2262.5508974793624
257,2388.6014668922467
258,2219.9166473215564
259,2285.1597603914333
260,2201.6638607333743
261,2281.4172278469887
262,2294.976038311722
263,2291.043498752018
264,2400.208656005287
265,2410.516923921351
266,2522.3726030467355
267,2513.1012748240296
268,2526.012174043253
269,2869.0701922196686
270,2657.053350249813
271,2674.604139088512
272,2814.804245001709
273,2832.1815063068284
274,2883.9679253582754
275,2650.032527653358
276,2737.7949228631005
277,2696.8736936983146
278,2441.925125798801
279,2463.6270538174285
280,2476.1621645142563
281,2504.612510705683
282,2610.8403764124596
283,2594.1794795844407
284,2662.986527055435
285,2717.5203714883855
286,2704.127482642611
287,2583.692895225591
288,2509.422265751699
289,2499.4340096508085
290,2514.7734492385284
291,2580.0003645272673
292,2553.831792722202
293,2475.8737031597334
294,2498.6235571928382
295,2421.447186633104
296,2556.6614746618316
297,2593.917779781363
298,2593.1050737190603
299,2603.8282865327924
300,2488.97165153853
301,2500.2360110925333
302,2532.498047311349
303,2368.321844907784
304,2330.6680603241593
305,2387.1957811900315
306,2357.347636911553
307,2341.649029133387
308,2073.1123539128216
309,1950.8316419969105
310,1931.4783922432566
311,2323.9573900239247
312,2270.675422797516
313,2271.1024808184698
314,2673.795095133249
315,2795.4888839708906
316,2812.878821800379
317,2741.3235038462562
318,2556.4414665389
319,2559.6356689792638
320,2640.295830136051
321,2770.265135782104
322,2773.3367984869046
323,2735.63146270418
324,2852.653248060612
325,2849.2196001599505
326,2684.88367354934
