,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
26,Montana,609057.0,606967.4380788566,604885.0450581975,602809.796342851,600741.6674220271,598680.6338690275,596626.6713409574,594579.7555784382,592539.8624053205,590506.9677283991,588481.0475371277,586462.0779033361,584450.0349809472,582444.8950056949,580446.6342948447,578455.2292469125,576470.656341387,574492.892138451,572521.9132787053,570557.6964828925,568600.2185516218,566649.4563650952,564705.3868828347,562767.9871434098,560837.2342641662,558913.1054409562,556995.5779478686,555084.6291369606,553180.2364379904,551282.3773581507,549391.0294818024,547506.1704702107,545627.7780612808,543755.8300692949,541890.3043846503,540031.1789735984,538178.4318779843,536332.0412149874,534491.9851768629,532658.2420306846,530830.7901180877,529009.6078550133,527194.6737314537,525385.9663111976,523583.4642315777
27,Nebraska,916329.0,921930.3341294335,927565.9080832418,933235.9311625567,938940.6139479259,944680.1683071328,950454.8074030663,956264.7457016369,962110.1989797418,967991.3843332789,973908.5201852093,979861.8262936698,985851.523760134,991877.8350376246,997940.9839389742,1004041.1956451385,1010178.6967135586,1016353.7150865756,1022566.4800998961,1028817.2224911095,1035106.1744082576,1041433.5694184562,1047799.6425165698,1054204.630133939,1060648.7701471613,1067132.3018869262,1073655.4661469029,1080218.5051926838,1086821.6627707824,1093465.1841176846,1100149.3159689582,1106874.3065684151,1113640.405677332,1120447.8645837256,1127296.9361116851,1134187.874630763,1141120.9360654212,1148096.3779045362,1155114.4592109618,1162175.440631151,1169279.5844048355,1176427.1543747662,1183618.4159965108,1190853.6363483137,1198133.0841410146
28,Nevada,932790.0,962839.1420346862,993856.2950225566,1025872.6427226817,1058920.3734559366,1093032.712466218,1128243.9553241557,1164589.5024068987,1202105.894488642,1240830.8494776778,1280803.3003369013,1322063.4342258992,1364652.7329039713,1408614.0144347062,1453991.4762340372,1500830.7395050623,1549178.8951042977,1599084.550885478,1650597.8805685043,1703770.6741826672,1758656.3901348622,1815310.2089551443,1873789.0887736555,1934151.8225847005,1996459.0973555436,2060773.5550393504,2127159.855553617,2195684.741787403,2266417.1067027245,2339428.0625975695,2414791.0126001695,2492581.7244664053,2572878.4067545454,2655761.787453893,2741315.1951464005,2829624.6427828437,2920778.914157783,3014869.653170255,3111991.455959927,3212241.966011353,3315721.9723219424,3422535.510732337,3532789.968521071,3646596.1923686727,3764068.599799747
29,New Hampshire,554187.0,563810.1301648351,573600.360305255,583560.5920137105,593693.7772670928,604002.9193016298,614491.0735029734,625161.3483117445,636016.9061448005,647060.9643325009,658296.7960722484,669727.7313985862,681357.1581701423,693188.52307371,705225.3326457646,717471.1543117174,729929.6174432166,742604.4144338071,755499.3017932683,768618.1012609546,781964.7009384689,795543.0564420035,809357.1920746911,823411.2020193131,837709.2515517187,852255.5782753135,867054.4933769853,882110.3829048377,897427.7090681109,913011.0115596747,928864.9089014864,944994.099813411,961403.3646058108,978097.5665963162,995081.6535511976,1012360.6591517667,1029939.70448624,1047823.9995675086,1066018.844877262,1084529.632936926,1103361.8499058788,1122521.077207417,1142012.9931829595,1161843.374774972,1182018.0992391165
30,New Jersey,3676290.0,3692143.009201677,3708064.380230291,3724054.4078777838,3740113.38820731,3756241.6185587146,3772439.3975540423,3788707.0251030643,3805044.802408831,3821453.031973251,3837932.0176026896,3854482.064413596,3871103.4788381513,3887796.568629943,3904561.6428696625,3921399.011970829,3938308.9876855365,3955291.8831102247,3972348.012691478,3989477.6922318465,4006681.2388956943,4023958.9712150707,4041311.209095609,4058738.2738224487,4076240.4880661853,4093818.175888844,4111471.66274988,4129201.2755122054,4147007.342448239,4164890.1932459874,4182850.159015147,4200887.572293236,4219002.76705175,4237196.078702346,4255467.844103057,4273818.401564522,4292248.090856253,4310757.25321293,4329346.231340711,4348015.369423585,4366765.013129741,4385595.509617968,4404507.2075440865,4423500.4570673965,4442575.609857169
31,New Mexico,877920.0,885971.8329371571,894097.5131652382,902297.7179738018,910573.1308641599,918924.4416063487,927352.3462966221,935857.5474154725,944440.753886184,953102.6811339222,961844.0511453662,970665.5925288873,979568.0405752802,988552.1373190501,997618.6316002633,1006768.2791269636,1016001.8425381623,1025320.0914674054,1034723.8026069241,1044213.759772373,1053790.753968163,1063455.5834533924,1073209.0538083834,1083051.9780018288,1092985.176458554,1103009.4771279015,1113125.7155527407,1123334.7349391133,1133637.3862265146,1144034.528158822,1154527.0273558723,1165115.7583856953,1175801.6038374116,1186585.4543947976,1197468.2089105253,1208450.7744810835,1219534.0665223855,1230719.008846071,1242006.5337365079,1253397.582028498,1264893.1031856993,1276494.0553797644,1288201.4055702055,1300016.1295849932,1311939.2122018924
32,New York,4938300.0,4977424.241941479,5016858.45012792,5056605.080302061,5096666.607662539,5137045.527018036,5177744.352942634,5218765.61993242,5260111.882563307,5301785.71565013,5343789.714406985,5386126.494608846,5428798.6927544605,5471808.966230538,5515159.993477234,5558854.474154951,5602895.1293124575,5647284.701556338,5692025.955221791,5737121.6765447715,5782574.673835508,5828387.777653382,5874563.840983206,5921105.739412887,5968016.371312503,6015298.658014797,6062955.543997103,6110989.997064712,6159405.008535688,6208203.5934271505,6257388.790643035,6306963.66316334,6356931.298234867,6407294.807563483,6458057.327507896,6509222.019274974,6560792.069116604,6612770.688528113,6665161.114448267,6717966.609460845,6771190.461997816,6824835.986544126,6878906.523844101,6933405.441109495,6988336.132229179
33,North Carolina,3061746.0,3114664.1513293562,3168496.921552676,3223260.1186243217,3278969.823717834,3335642.395948154,3393294.477175467,3451942.996892073,3511605.1771937204,3572298.5378368595,3634040.9013833096,3696850.39843384,3760745.472952207,3825744.8876812137,3891867.7296523717,3959133.415790798,4027561.698616979,4097172.672047085,4167986.777293533,4240024.808867536,4313307.920685393,4387857.632280326,4463695.835121673,4540844.7990433,4619327.178783126,4699166.020635668,4780384.76921957,4863007.274362097,4947057.79810262,5032561.02181715,5119542.053466,5208026.434966724,5298040.149694484,5389609.630112043,5482761.765531645,5577523.910011041,5673923.890385986,5771990.014441573,5871751.0792247895,5973236.379500752,6076475.716355096,6181499.405945035,6288338.288401687,6397023.736886253,6507587.666802722
34,North Dakota,625518.0,606145.1460162954,587372.2867113593,569180.8397113787,551552.7981553389,534470.7128708753,517917.6751021556,501877.29977269453,486333.70926653425,471271.51771173644,456675.8157506285,442532.1557817289,428826.5376587437,415545.3948324774,402675.58092194167,390204.35670136893,378119.37749024946,366408.6809339107,355060.67516254284,344064.12731695,333408.15242966934,323082.2026504516,313076.0568054386,303379.8102797019,293983.8652131288,284878.9209999502,276055.9650825068,267506.26403014053,259221.35489438064,251193.0368318678,243413.36298672325,235874.63262432875,228569.38350873,221490.38451611905,214630.6284770836,207983.32524053837,201541.89495247265,195299.9615428611,189251.3464142909,183390.06232605752,177710.30746767583,172206.4597159396,166873.0710698453,161704.86225787108,156696.71751227335
35,Ohio,4159146.0,4190909.183954204,4222914.941709594,4255165.125789806,4287661.602866104,4320406.253865423,4353400.97407924,4386647.673273278,4420148.275798041,4453904.720700199,4487918.96183482,4522192.967978465,4556728.72294314,4591528.225691119,4626593.49045065,4661926.546832539,4697529.439947623,4733404.230525146,4769552.995032037,4805977.825793093,4842680.831112091,4879664.135393814,4916929.879267015,4954480.219708316,4992317.3301670635,5030443.400691122,5068860.638053639,5107571.265880775,5146577.5247804085,5185881.672471827,5225485.983916402,5265392.751449268,5305604.284912007,5346122.911786339,5386950.977328845,5428090.8447067095,5469544.895134501,5511315.528012004,5553405.161063093,5595816.230475677,5638551.191042706,5681612.516304258,5725002.69869071,5768724.249666998,5812779.69987799
