State,截距,pop,GDP,coal,natural_gas,petroleum,mining,construction,manufacturing
New Hampshire,9.876392560554677,-0.7417827965833084,0.05682289777243987,0.11703871881161343,0.1324016999877642,0.6221213319503383,0.007642734155001607,0.06707619306702695,0.026731616485694776
New Jersey,6.088371042141262,-0.2878760943156067,-0.0882250982850934,0.04107564199469138,0.29344196924929244,0.6400062732404663,-0.0013098434196017195,0.06901802692535419,0.010827621277960553
New Mexico,0.3164400632188489,0.016171287883452123,0.03743652922147689,0.46352430867921,0.2274890878474558,0.29535890034960843,-0.0059171363079459915,0.006582536010681261,-0.0012902200536495378
New York,20.25669734520568,-1.2073405766098162,0.03390172531530311,0.04318850899145921,0.35620009724101775,0.6296820812343622,-0.014972778259546349,-0.0031614428328747834,0.026721370053508497
North Carolina,1.4023233587575987,-0.09577238092144569,0.06945096259385508,0.3712078483387131,0.1308587359049822,0.5074309585888201,0.005682211161394335,0.0029213021154572694,-0.0009665907603331192
North Dakota,-1.16567318768341,0.13092191558263266,-0.004493280115081433,0.7758208205128803,0.030713770209060964,0.23743001268171726,-0.009134618640570524,0.011424683863749507,0.0015700402646589562
Ohio,17.963357709190404,-1.1129885545939828,0.10443159131087043,0.4194220779972042,0.16149955816526784,0.42179181204134153,0.015966169819471077,-0.029444751795377755,-0.022574890170492523
Oklahoma,3.1206873902951315,-0.1764054512324318,0.051115866152272815,0.2876444000206293,0.32575083509438585,0.35294266801554386,-0.003160573058495597,0.014336444762529155,-0.009376309671573324
Oregon,1.3964270353119446,0.005223642294239994,0.006696395861467863,0.07593610002606499,0.29091301227135524,0.5144160775991438,0.017974541452535853,0.007578457650094794,-0.048542934924777015
Pennsylvania,9.48196698907941,-0.4618095850782993,-0.08668506078472049,0.38686151095923815,0.20548700603000825,0.38322760760146934,-0.006358845168812799,0.04740133706651761,0.016642242576992317
Rhode Island,-0.9249531829408397,0.4300718752057122,-0.31395102678790954,-0.0009225295512270693,0.42045098083392496,0.4480032618722265,0.001875137399429766,0.08058346939221472,0.011630385835222024
South Carolina,1.9390189331249985,-0.09683601819211418,-0.004031950897640968,0.39616248648902186,0.12082998992943672,0.46088748590586626,0.01134245612442486,0.0028850201747951942,0.057813108810748304
South Dakota,-4.556804292285619,0.48797746875233017,-0.03218139896032435,0.22116188197434505,0.19032187973153736,0.443912348283642,-0.024975576851590464,-0.03387142295216217,0.008230825892982407
Tennessee,2.738739713902305,-0.06591747249696667,-0.10782132477748863,0.4620889757913176,0.15203382156798817,0.39460469736264514,-0.004533086685128751,0.03150504914405872,0.06343415912012951
Texas,1.5743618131077106,-0.021412327481428406,-0.010511170590159935,0.23831063236115924,0.31344848722319796,0.4282141576594434,-0.0026538557720137135,0.013311722368394285,0.002452476008316662
Utah,0.6209035267717127,0.08288685948796992,-0.048781213789904854,0.5364021984033043,0.12789651565584492,0.2792147913949705,-0.0007852001166925859,0.014441757297099622,-0.006302985845056508
Vermont,4.537081856339,-0.42404960481580645,0.1125558829227522,0.011535891686289879,0.04479116724811105,0.9133847866388529,0.0007148850873085477,-0.012035105897536091,-0.022806222924921293
Virginia,2.917238593447678,-0.12453884463851495,-0.003510286067401225,0.2565264989682694,0.1481128165466088,0.5095723458938632,-0.021631667667671994,0.03876480291620865,0.02052667094159233
Washington,0.3988975169489777,0.035069006237659295,-0.004686546858984286,0.10576842524517649,0.16530974559953826,0.6997445951913566,-0.006231881008031515,0.0034213194814363135,0.003050092173709995
West Virginia,-0.08501072697072232,0.016602797250556023,0.039689162901773045,0.7987370973184458,0.0701856919398125,0.12542494836227647,-0.0010101395968487026,0.0017495399603753015,-0.010764519249787163
Wisconsin,1.3195783640906313,-0.0028038281882647453,-0.024920670514593013,0.4076858558095284,0.20086467930877383,0.3701763574068586,-0.001121542040392054,0.014882703001362074,0.011617389138891099
Wyoming,0.2575842379827691,-0.007689458260871973,0.03382615263888589,0.7735146436167,0.11452726232191068,0.16004272694349098,0.001754130473060167,-0.012061123585507039,-0.0010707128239091368
