,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
25,.Missouri,6087135,6099770.147426592,6112431.521797468,6125119.177552246,6137833.169243545,6150573.551537221,6163340.3792126,6176133.707162715,6188953.590394538,6201800.084029223,6214673.243302339,6227573.123564107,6240499.780279642,6253453.269029185,6266433.645508348,6279440.96552835,6292475.285016259,6305536.660015231,6318625.146684752,6331740.801300878,6344883.680256479,6358053.840061481,6371251.337343106,6384476.228846121,6397728.571433076,6411008.422084552,6424315.837899407,6437650.876095019,6451013.594007533,6464404.0490921065,6477822.298923158,6491268.401194614,6504742.413720157,6518244.394433474,6531774.401388507,6545332.4927597,6558918.72684225,6572533.1620523585,6586175.856927484,6599846.87012659,6613546.2604304,6627274.08674165,6641030.408085338,6654815.283608985,6668628.772582885
26,.Montana,1040859,1048444.1004055418,1056084.476067542,1063780.5297959591,1071532.6673361666,1079341.2973903457,1087206.831639032,1095129.6847628204,1103110.274464226,1111149.021489708,1119246.34965185,1127402.6858517057,1135618.460101304,1143894.1055463213,1152230.0584889161,1160626.7584107325,1169084.6479960692,1177604.173155219,1186185.7830479783,1194829.9301073255,1203537.070063276,1212307.661966907,1221142.168214561,1230041.0545722218,1239004.7902000723,1248033.847677228,1257128.7030266523,1266289.835740253,1275517.7288041618,1284812.8687241974,1294175.7455515154,1303606.852908444,1313106.6880145082,1322675.7517126447,1332314.5484956056,1342023.5865325572,1351803.3776958701,1361654.437588107,1371577.2855692047,1381572.4447838562,1391640.4421890911,1401781.8085820577,1411997.078628007,1422286.7908884815,1432651.4878497077
27,.Nebraska,1905616,1916262.140978535,1926967.758954395,1937733.1862088472,1948558.7568795201,1959444.8069707758,1970391.674364138,1981399.6988287794,1992469.222032068,2003600.587550171,2014794.140878719,2026050.22944353,2037369.2026113924,2048751.4117009079,2060197.2099933974,2071706.9527438644,2083280.997192023,2094919.7025733849,2106623.4301304095,2118392.5431237165,2130227.40684336,2142128.388620168,2154095.8578371415,2166130.1859409213,2178231.746453316,2190400.914982895,2202638.069236648,2214943.589031707,2227317.856307136,2239761.2551357844,2252274.1717362097,2264856.994484663,2277510.113927145,2290233.9227915267,2303028.8159997393,2315895.1906800326,2328833.4461792996,2341843.9840754718,2354927.208189985,2368083.5246003103,2381313.3416525605,2394617.069974163,2407995.122486606,2421447.9144182527,2434975.863317231
28,.Nevada,2917563,2953634.4324577674,2990151.8358301497,3027120.723900302,3064546.6786213065,3102435.3509589955,3140792.4617451923,3179623.802541503,3218935.2365137897,3258732.69931745,3299022.1999936476,3339809.8218766185,3381101.7235121997,3422904.139587709,3465223.381873326,3508065.8401751076,3551437.98329979,3595346.360031517,3639797.6001206455,3684798.415284773,3730355.6002221447,3776476.0336375907,3823166.679281142,3870434.5869994937,3918286.893800464,3966730.8249306157,4015773.6949662003,4065422.908917588,4115685.9633473577,4166570.447502204,4218084.044458845,4270234.532284089,4323029.785209257,4376477.7748191105,4430586.571255488,4485364.344435822,4540819.365286716,4596960.006992778,4653794.746260893,4711332.164600125,4769580.949617443,4828549.896329469,4888247.908490444,4948683.999936605,5009867.295947196
29,.New Hampshire,1342307,1345953.770165571,1349610.44785054,1353277.0599715856,1356953.6335185135,1360640.195554455,1364336.7732160664,1368043.3937137288,1371760.084331748,1375486.8724285562,1379223.785436912,1382970.8508641035,1386728.0962921507,1390495.5493780077,1394273.237853767,1398061.1895268634,1401859.4322802792,1405667.9940727486,1409486.9029389636,1413316.1869897812,1417155.8744124295,1421005.9934707156,1424866.5725052336,1428737.6399335726,1432619.224250527,1436511.3540283055,1440414.0579167411,1444327.3646435032,1448251.303014308,1452185.9019131307,1456131.1903024183,1460087.1972233031,1464053.9517958162,1468031.483219101,1472019.82077163,1476018.9938114183,1480029.0317762413,1484049.9641838504,1488081.820632191,1492124.630799619,1496178.4244451215,1500243.231408534,1504319.081610761,1508406.005053995,1512504.0318219394
30,.New Jersey,8870827,8876014.077918027,8881204.188899074,8886397.334716676,8891593.517145408,8896792.73796088,8901994.998939743,8907200.301859684,8912408.648499431,8917620.04063875,8922834.480058452,8928051.968540385,8933272.507867442,8938496.099823557,8943722.746193705,8948952.448763909,8954185.209321234,8959421.029653791,8964659.911550736,8969901.85680227,8975146.867199643,8980394.94453515,8985646.090602135,8990900.307194993,8996157.596109165,9001417.959141143,9006681.398088468,9011947.914749736,9017217.510924593,9022490.188413734,9027765.94901891,9033044.794542927,9038326.726789642,9043611.747563967,9048899.858671872,9054191.06192038,9059485.359117573,9064782.75207259,9070083.242595626,9075386.832497936,9080693.523591833,9086003.317690691,9091316.216608945,9096632.222162088,9101951.336166678
31,.New Mexico,2091630,2092496.890527078,2093364.1403429336,2094231.7495964766,2095099.7184366782,2095968.0470125717,2096836.7354732524,2097705.7839678763,2098575.192645663,2099444.961655892,2100315.0911479057,2101185.5812711087,2102056.4321749667,2102927.644009008,2103799.2169228224,2104671.151066062,2105543.446588441,2106416.103639735,2107289.1223697825,2108162.502928484,2109036.245465802,2109910.3501317604,2110784.817076446,2111659.6464500083,2112534.838402658,2113410.393084668,2114286.310646375,2115162.591238177,2116039.2350105336,2116916.242113968,2117793.612699065,2118671.346916472,2119549.4449168993,2120427.906851119,2121306.732869966,2122185.9231243376,2123065.477765194,2123945.396943558,2124825.680810514,2125706.32951721,2126587.3432148565,2127468.7220547264,2128350.466188155,2129232.5757665415,2130115.0509413467
32,.New York,19633428,19645565.420456596,19657710.344288323,19669862.776133776,19682022.720634427,19694190.18243461,19706365.166181535,19718547.67652528,19730737.7181188,19742935.295617934,19755140.413681388,19767353.076970752,19779573.290150497,19791801.057887983,19804036.38485345,19816279.275720023,19828529.735163722,19840787.767863452,19853053.378501017,19865326.57176111,19877607.35233132,19889895.72490214,19902191.69416696,19914495.264822062,19926806.441566646,19939125.22910281,19951451.63213555,19963785.65537279,19976127.30352535,19988476.581306968,20000833.493434295,20013198.044626895,20025570.239607252,20037950.08310077,20050337.579835773,20062732.734543506,20075135.551958147,20087546.036816794,20099964.193859473,20112390.02782914,20124823.543471687,20137264.74553594,20149713.638773657,20162170.227939535,20174634.51779121
33,.North Carolina,10154788,10237941.07560598,10321775.055036118,10406295.513911216,10491508.073508365,10577418.401134819,10664032.210504904,10751355.262120035,10839393.363651825,10928152.370328348,11017638.185323557,11107856.760149887,11198814.095054084,11290516.239416264,11382969.292152245,11476179.402119175,11570152.76852448,11664895.641338155,11760414.321708443,11856715.162380908,11953804.56812094,12051688.996139728,12150374.95652371,12249869.012667552,12350177.781710654,12451307.934977258,12553266.198420126,12656059.353067884,12759694.235476006,12864177.738181498,12969516.810161311,13075718.457294501,13182789.742828174,13290737.787847243,13399569.77174805,13509292.932715837,13619914.568206152,13731442.035430185,13843882.751844082,13957244.195642259,14071533.906254765,14186759.484848714,14302928.594833821,14420048.962372083,14538128.376891622
34,.North Dakota,754434,765617.3957292358,776966.5691673722,788483.9777297983,800172.1152595415,812033.5125672545,824070.737979207,836286.3978934007,848683.137343928,861263.6405736957,874030.6316156397,886986.8748825545,900135.1757656666,913478.3812420804,927019.3804912287,940761.1055204617,954706.5317999092,968858.6789067531,983220.611179051,997795.438379252,1012586.3163675471,1027596.4477852025,1042829.0827480209,1058287.5195500832,1073975.1053779223,1089895.2370352827,1106051.3616786243,1122446.977563529,1139085.634802171,1155970.9361320164,1173106.5376959166,1190496.1498337672,1208143.5378859,1226052.5230083852,1244226.98300042,1262670.8531439805,1281388.127055921,1300382.8575527049,1319659.157527953,1339221.200843001,1359073.223230658,1379219.5232123616,1399664.4630289285,1420412.4695851027,1441468.0354081057
35,.Ohio,11634370,11651539.384262012,11668734.106187856,11685954.203169504,11703199.712654117,11720470.672144115,11737767.119197259,11755089.09142674,11772436.626501255,11789809.762145093,11807208.536138209,11824632.986316316,11842083.150570963,11859559.066849614,11877060.773155738,11894588.307548884,11912141.70814477,11929721.01311536,11947326.260688953,11964957.489150262,11982614.7368405,12000298.042157458,12018007.443555597,12035742.979546126,12053504.688697085,12071292.609633433,12089106.781037126,12106947.241647208,12124814.030259892,12142707.185728643,12160626.746964265,12178572.752934983,12196545.24266653,12214544.25524223,12232569.829803089,12250622.005547868,12268700.82173318,12286806.317673571,12304938.532741604,12323097.506367944,12341283.27804145,12359495.887309253,12377735.373776847,12396001.777108174,12414295.137025708
