,States,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
20,Maryland,0.059980447495495415,0.060709637605432264,0.06144769257447957,0.06219472017388379,0.06295082948508045,0.06371613091562228,0.06449073621530103,0.0652747584924652,0.0660683122305362,0.06687151330472534,0.06768447899895391,0.06850732802297915,0.06934018052972825,0.07018315813284318,0.0710363839244388,0.07189998249307682,0.07277407994195834,0.07365880390733748,0.07455428357715892,0.075460649709922,0.07637803465377418,0.07730657236583659,0.07824639843176447,0.07919765008554558,0.08016046622953911,0.08113498745475832,0.08212135606139974,0.08311971607962189,0.0841302132905767,0.08515299524769654,0.08618821129824006,0.0872360126051,0.08829655216887605,0.08936998485021613,0.09045646739242921,0.09155615844437306,0.09266921858362032,0.09379581033990601,0.09493609821886038,0.09609024872603,0.09725843039119106,0.09844081379295819,0.09963757158369244,0.10084887851471208,0.10207491146180994
21,Massachusetts,0.06966241319841351,0.07032333495333601,0.07099052719970539,0.07166404942877412,0.07234396169621761,0.07303032462748912,0.0737231994232256,0.07442264786470465,0.07512873231935344,0.07584151574630972,0.07656106170203575,0.07728743434598533,0.07802069844632473,0.07876091938570784,0.07950816316710611,0.08026249641969382,0.08102398640478915,0.08179270102185168,0.08256870881453672,0.08335207897680712,0.08414288135910307,0.08494118647457043,0.08574706550534812,0.08656059030891522,0.08738183342449822,0.08821086807953915,0.08904776819622494,0.08989260839807889,0.09074546401661454,0.09160641109805276,0.0924755264101025,0.09335288744880592,0.09423857244544845,0.0951326603735344,0.09603523095582876,0.09694636467146582,0.09786614276312518,0.0987946472442759,0.09973196090648942,0.10067816732682171,0.10163335087526558,0.10259759672227371,0.10357099084635296,0.10455362004173077,0.10554557192609436
22,Michigan,0.04545721044551112,0.0460290420060074,0.046608066954095556,0.04719437577940333,0.047788060109877885,0.04838921272610536,0.04899792757581053,0.049614299788538915,0.050238425690523565,0.05087040281973884,0.051510329941143594,0.05215830706211608,0.05281443544808305,0.05347881763834545,0.054151557462103185,0.05483276005468147,0.05552253187396131,0.05622098071701669,0.05692821573696099,0.057644347460005387,0.05836948780273181,0.05910375008958318,0.05984724907057369,0.06060010093922186,0.061362423350709155,0.0621343354402671,0.06291595784179561,0.06370741270671562,0.06450882372305879,0.06532031613479737,0.06614201676141733,0.06697405401773752,0.06781655793397832,0.06866966017608264,0.06953349406629261,0.07040819460398506,0.07129389848676916,0.07219074413184941,0.0730988716976574,0.07401842310575567,0.07494954206301711,0.0758923740840834,0.0768470665141059,0.07781376855177267,0.07879263127262516
23,Minnesota,0.0586719753803544,0.05933234653200689,0.06000015036434054,0.06067547053446539,0.06135839164107804,0.06204899923505946,0.06274737983019212,0.06345362091399777,0.06416781095869717,0.06489003943229314,0.06562039680977846,0.0663589745844698,0.06710586527946927,0.06786116245925501,0.06862496074140217,0.06939735580843584,0.07017844441981741,0.0709683244240658,0.07176709477101512,0.07257485552421038,0.07339170787344257,0.07421775414742496,0.075053097826612,0.07589784355616251,0.07675209715904881,0.07761596564931335,0.0784895572454746,0.07937298138408377,0.08026634873343418,0.08116977120742483,0.08208336197958016,0.08300723549722745,0.08394150749583393,0.08488629501350511,0.08584171640564647,0.08680789135978999,0.08778494091058768,0.08877298745497388,0.08977215476749804,0.09078256801583037,0.0918043537764417,0.09283764005046002,0.09388255627970547,0.0949392333629057,0.09600780367209388
24,Mississippi,0.03388801909544308,0.03393315263132603,0.033978346278012606,0.03402360011556099,0.034068914224136,0.03411428868400919,0.03415972357555905,0.034205218979271104,0.034250774975738085,0.034296391645660056,0.03434206906984456,0.03438780732920675,0.03443360650476958,0.03447946667766388,0.03452538792912854,0.03457137034051067,0.03461741399326569,0.03466351896895753,0.03470968534925874,0.03475591321595063,0.034802202650923465,0.03484855373617655,0.03489496655381841,0.034941441186066916,0.034987977715249446,0.03503457622380303,0.03508123679427448,0.035127959509320565,0.03517474445170812,0.03522159170431423,0.03526850135012634,0.03531547347224243,0.035362508153871174,0.03540960547833203,0.03545676552905545,0.035503988389583,0.03555127414356749,0.035598622874773174,0.035646034667075846,0.03569350960446301,0.03574104777103404,0.0357886492510003,0.035836314128685334,0.03588404248852497,0.03593183441506749
25,Missouri,0.04585230983048676,0.04601024058307372,0.04616871530220686,0.04632773586148964,0.04648730414097881,0.0466474220272067,0.04680809141320349,0.04696931419851957,0.04713109228924803,0.04729342759804719,0.047456322044163196,0.04761977755345274,0.04778379605840579,0.047948379498168485,0.048113529818566,0.04827924897212562,0.048445538918099766,0.04861240162248919,0.04877983905806621,0.04894785320439803,0.04911644604787017,0.04928561958170989,0.04945537580600983,0.0496257167277516,0.04979664436082954,0.04996816072607451,0.0501402678512778,0.05031296777121508,0.05048626252767048,0.05066015416946072,0.050834644752459336,0.05100973633962097,0.05118543100100579,0.05136173081380393,0.05153863786236007,0.05171615423819809,0.051894282040045744,0.052073023373859544,0.052252380352849605,0.05243235509750465,0.05261294973561709,0.05279416640230814,0.05297600724005312,0.05315847439870674,0.05334157003552852
26,Montana,0.04269243000252676,0.04280319682353891,0.042914251032470575,0.04302559337495853,0.043137224598574136,0.04324914545282836,0.04336135668917678,0.04347385906102467,0.043586653323732016,0.04369974023461863,0.043813120552969195,0.04392679504003839,0.044040764459055984,0.04415502957523199,0.04426959115576176,0.04438444996983117,0.04449960678862177,0.04461506238531596,0.044730817535102184,0.044846873015180144,0.04496322960476601,0.04507988808509764,0.04519684923943986,0.045314113853089685,0.045431682713381605,0.04554955660969288,0.045667736333448825,0.04578622267812815,0.04590501643926826,0.0460241184144706,0.04614352940340602,0.04626325020782014,0.04638328163153874,0.046503624480473155,0.04662427956262566,0.04674524768809494,0.04686652966908149,0.04698812631989309,0.04711003845695027,0.04723226689879178,0.0473548124660801,0.04747767598160695,0.0476008582702988,0.04772436015922241,0.04784818247759041
27,Nebraska,0.059094539508484395,0.059859430173310454,0.060634221206833934,0.06141904075455961,0.06221401862064467,0.0630192862893675,0.06383497694687432,0.06466122550320735,0.0654981686146181,0.06634594470616936,0.06720469399462992,0.06807455851166544,0.06895568212732966,0.06984821057385958,0.07075229146977856,0.0716680743443116,0.07259571066211647,0.07353535384833496,0.0744871593139685,0.0754512844815821,0.07642788881134106,0.07741713382738465,0.07841918314454117,0.07943420249538886,0.08046235975766693,0.08150382498204149,0.08255877042023092,0.08362737055349512,0.08470980212149362,0.08580624415151723,0.086916877988098,0.0880418873230024,0.08918145822561285,0.09033577917370236,0.09150504108460757,0.09268943734680524,0.09388916385189751,0.09510441902701111,0.09633540386761594,0.09758232197076841,0.09884537956878515,0.10012478556335251,0.10142075156007754,0.10273349190348624,0.10406322371247476
28,Nevada,0.04801308489311114,0.04819581073345396,0.048379231982825455,0.048563351287779145,0.048748171304940684,0.04893369470104617,0.04911992415298066,0.04930686234781673,0.04949451198285331,0.04968287576565458,0.04987195641408902,0.05006175665636865,0.050252279231088395,0.05044352688726556,0.050635502384379555,0.05082820849241167,0.05102164799188504,0.051215823673904814,0.05141073834019835,0.051606394803155715,0.051802795885870216,0.05199994442217915,0.0521978432567047,0.05239649524489496,0.052595903253065165,0.05279607015843902,0.05299699884919023,0.053198692224484166,0.053401153194519706,0.05360438468057122,0.05380838961503072,0.05401317094145016,0.05421873161458394,0.0544250746004315,0.05463220287628014,0.05484011943074799,0.055048827263827094,0.05525832938692673,0.055468628822916845,0.05567972860617168,0.05589163178261354,0.056104341409756765,0.05631786055675182,0.05653219230442961,0.05674733974534589
29,New Hampshire,0.05481026322592372,0.05545049963263817,0.056098214614209906,0.05675349552756101,0.05741643075002614,0.05808710969127193,0.05876562280535562,0.05945206160292451,0.06014651866355799,0.06084908764825366,0.06155986331205935,0.06227894151685265,0.06300641924426977,0.06374239460878536,0.06448696687094521,0.0652402364507534,0.06600230494121588,0.06677327512204233,0.0675532509735079,0.06834233769047703,0.069140641696591,0.06994827065862122,0.0707653335009902,0.07159194042046207,0.07242820290100481,0.07327423372882598,0.07413014700758414,0.07499605817377794,0.075872084012315,0.07675834267226259,0.07765495368278227,0.07856203796925083,0.07947971786956934,0.0804081171506628,0.08134736102517252,0.08229757616834349,0.08325889073510893,0.08423143437737454,0.08521533826150454,0.08621073508601199,0.08721775909945576,0.08823654611854657,0.0892672335464645,0.09030996039139044,0.09136486728525409
